x0,x1
0.696244,0.483316
0.696451,0.483601
0.69664,0.483901
0.69685,0.484176
0.697062,0.484459
0.69727,0.484754
0.697478,0.485042
0.697683,0.485327
0.697905,0.485609
0.698093,0.485894
0.698292,0.486182
0.698506,0.486463
0.698701,0.486743
0.698903,0.487033
0.699105,0.487318
0.699307,0.487593
0.699507,0.487893
0.699713,0.488178
0.699903,0.488466
0.700108,0.488746
0.700317,0.489034
0.700524,0.489314
0.700716,0.489602
0.700922,0.489882
0.701117,0.490162
0.701319,0.49045
0.701517,0.49073
0.701714,0.49101
0.70193,0.49129
0.702126,0.49157
0.702327,0.49185
0.702522,0.49213
0.702717,0.49241
0.702907,0.49269
0.703121,0.49297
0.703335,0.49327
0.703528,0.49355
0.703728,0.49383
0.70392,0.49411
0.704132,0.49439
0.704324,0.49467
0.704521,0.49495
0.704732,0.49523
0.704922,0.49553
0.705132,0.49581
0.705322,0.49609
0.705511,0.49637
0.70572,0.496645
0.705909,0.496925
0.706102,0.497205
0.70632,0.497485
0.706507,0.497765
0.706714,0.498045
0.706901,0.498325
0.707087,0.498605
0.707293,0.498885
0.707478,0.499165
0.707683,0.499445
0.707888,0.499715
0.708072,0.499995
0.708256,0.500275
0.70846,0.500535
0.708638,0.500815
0.70884,0.501095
0.709023,0.501365
0.709225,0.501625
0.709426,0.501885
0.709628,0.502165
0.709808,0.502445
0.709989,0.502725
0.710189,0.502985
0.710364,0.503265
0.710563,0.503525
0.710762,0.503805
0.710935,0.504085
0.711133,0.504345
0.711306,0.504615
0.711504,0.504875
0.711681,0.505137
0.711877,0.505397
0.712053,0.505677
0.712249,0.505937
0.712445,0.506217
0.71262,0.506497
0.712814,0.506762
0.713004,0.507042
0.713198,0.507302
0.713391,0.507562
0.713585,0.507822
0.713747,0.508102
0.71392,0.508382
0.714132,0.508642
0.714324,0.508902
0.714515,0.509182
0.714686,0.509462
0.714877,0.509722
0.715067,0.509982
0.715267,0.510252
0.715456,0.510527
0.715645,0.510802
0.715819,0.511062
0.715987,0.511342
0.716175,0.511602
0.716363,0.511862
0.71655,0.512127
0.716737,0.512387
0.716924,0.512647
